"📢推播設定時間
",,📢推播成效每周二、五更新,🤖🏆開啟率最高前五名(推播數量>=5筆),📢扭蛋機排程表看後台,,,🤖推播開啟率中位數,,,📢其他注意,,,,,,,
新SLOT-12:05、直播抽獎-活動前3分鐘,,,通關地圖、CCU紅包、每日登入、直播抽獎、外贈送寶石,,,,0.109%,,,颱風天通常會加開活動,,,,,,,
,,,,,,,,,,,,,,,,,
日期,時間,標題(最多10個字),內容,節慶,活動分類,狀態,🤖點閱次數,🤖發送次數,開啟率,🤖開啟率中位數,,🤖項目,,🤖開啟率中位數,,🤖有效數量(有開啟率的),📢推播設定邏輯
2024/7/25,19:00:00,聽說有免費競猜券！,銀卡以上登入就送你！最多4張！快來預測總獎牌！,-,競猜,已發送,,,0.122%,,,,,,,,
2024/7/25,12:00:00,颱風來襲！請注意安全！,包你發關心您~小妹建議大家在家玩包你發最安全！,-,其他,已發送,,,0.180%,,,,,,,,
2024/7/26,19:00:00,一起為中華隊加油！,贏戰體壇盛事！快來預測哪一隊贏！,-,競猜,已發送,,,0.111%,,,,,,,,
2024/7/27,19:00:00,迎聖火！紅包牆開跑！,包包有禮！還有棒球巨星威力卡送夠夠！,-,紅包牆,已發送,,,0.148%,,,,,,,,
2024/7/28,19:00:00,超高30%加碼都在這！,刮刮卡贏分加碼，千萬別錯過！,-,刮刮卡加碼,已發送,,,0.117%,,,,,,,,
2024/7/29,19:00:00,拿紅紫卡好爽！,活動開跑！心動不如馬上行動！,-,強化兌換,已發送,,,0.153%,,,,,,,,
2024/7/30,19:00:00,銀卡登入拿免費競猜券！,跟大家一起預測賽事拿獎金吧！,-,競猜,已發送,,,0.140%,,,,,,,,
2024/7/31,12:00:00,免費金幣上哪領？,登入就刮金幣，VIP再加乘滿足你的心！,-,每日登入,已發送,,,0.149%,,,,,,,,
2024/8/1,19:00:00,儲值小瑪莉開跑啦！,抽爆元素女神卡包、寶石、金幣，爽翻天！,-,儲值小瑪莉,已發送,,,0.115%,,,,,,,,
2024/8/1,12:00:00,免費金幣禮到囉！,動動手指，點擊領取你的獎勵~,-,每日登入,已發送,,,0.196%,,,,,,,,
